Data;Sequenced;File_name;Run;Sample_ID;Project;IgA_interaction;Group
495651456;Apr;ENT116_neg_r2_S223_R2_001.fastq.gz;Run_2;ENT116_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
488901702;Apr;ENT116_neg_r2_S223_R1_001.fastq.gz;Run_2;ENT116_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
84678292;Dec;ENT116_IgAneg_S136_R2_001.fastq.gz;Run_1;ENT116_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
83541651;Dec;ENT116_IgAneg_S136_R1_001.fastq.gz;Run_1;ENT116_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
43982971;Apr;ENT116_IgApos_S126_R2_001.fastq.gz;Run_2;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
42872361;Apr;ENT116_IgApos_S126_R1_001.fastq.gz;Run_2;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
14845269;Apr;ENT116_100K_IgApos_S112_R2_001.fastq.gz;Run_2;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
10346063;Apr;ENT116_100K_IgApos_S112_R1_001.fastq.gz;Run_2;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
351196477;Dec;ENT116_IgApos_S143_R2_001.fastq.gz;Run_1;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
341649144;Dec;ENT116_IgApos_S143_R1_001.fastq.gz;Run_1;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
50870451;Dec;ENT116_100K_IgApos_S127_R2_001.fastq.gz;Run_1;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
47862291;Dec;ENT116_100K_IgApos_S127_R1_001.fastq.gz;Run_1;ENT116_IgApos;Sorting_MS;IgApos;CIS_IgApos
233687858;Dec;ENT117_IgAneg_S187_R2_001.fastq.gz;Run_1;ENT117_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
226930496;Dec;ENT117_IgAneg_S187_R1_001.fastq.gz;Run_1;ENT117_IgAneg;Sorting_MS;IgAneg;CIS_IgAneg
81930576;Apr;ENT117_IgApos_S142_R2_001.fastq.gz;Run_2;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
80034245;Apr;ENT117_IgApos_S142_R1_001.fastq.gz;Run_2;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
9737013;Apr;ENT117_100K_IgApos_S113_R2_001.fastq.gz;Run_2;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
9562854;Apr;ENT117_100K_IgApos_S113_R1_001.fastq.gz;Run_2;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
246784342;Dec;ENT117_IgApos_S160_R2_001.fastq.gz;Run_1;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
238432883;Dec;ENT117_IgApos_S160_R1_001.fastq.gz;Run_1;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
79861040;Dec;ENT117_100K_IgApos_S128_R2_001.fastq.gz;Run_1;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
77599978;Dec;ENT117_100K_IgApos_S128_R1_001.fastq.gz;Run_1;ENT117_IgApos;Sorting_MS;IgApos;CIS_IgApos
