#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz	m2_30pos_S193_R1_001.fastq.gz	m3_38neg_S194_R1_001.fastq.gz	m4_38pos_S195_R1_001.fastq.gz	m5_43neg_S196_R1_001.fastq.gz	m6_43pos_S197_R1_001.fastq.gz	m7_98neg_S198_R1_001.fastq.gz	m8_98pos_S199_R1_001.fastq.gz
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	0.04394	0.69605	0.0	0.16848	0.0	0.16269	0.0	0.49659
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.03569	0.0	0.03444	0.0	0.0	0.0	0.03971	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	0.02845	0.0	0.02979	0.00464	0.0	0.00104	0.03202	0.0
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	0.02813	2.74574	0.0	2.75861	0.0	2.96509	0.0	2.69409
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.02409	0.0	0.06672	0.08111	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	0.02181	1.54683	0.0	0.93161	0.0	1.47433	0.02816	1.6799
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223	0.01324	0.0	0.15471	0.00279	0.0	0.0	0.13093	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.01169	0.03403	0.44228	0.19439	0.0	0.0	0.23329	0.05854
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.01093	0.0	0.0051	0.0	0.0	0.0	0.01551	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.00799	0.0	0.04382	0.0	0.0	0.0	0.014	0.0
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	0.00419	0.0	0.01491	0.0	0.0	0.0	0.04295	0.0
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470	0.00367	0.0471	0.0093	0.0334	0.0	0.04836	0.01356	0.04647
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	0.00312	0.0	0.00204	0.0	0.0	0.0	0.022	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	28.02635	0.13538	15.32818	0.2434	30.66719	0.10199	23.58093	0.12024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	27.00783	31.44309	30.19727	36.47926	27.86131	41.20275	31.67837	32.86999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	17.00534	17.3585	14.55895	20.30106	18.50904	17.19492	13.02321	19.0422
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	4.08424	2.0919	5.71936	2.15785	5.20807	2.67057	3.65495	2.23369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.84524	0.4286	1.30461	1.34548	4.40342	1.42401	2.29448	0.59271
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	3.78692	12.32361	4.98849	5.02851	4.83436	5.75294	4.78978	7.43348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	3.02724	0.61683	2.34632	1.12947	1.27889	0.85873	3.24857	0.65623
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2.09657	5.01212	2.83726	6.22407	0.45582	4.90056	1.03506	5.70066
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1.02028	4.67552	1.06247	2.94952	0.49123	2.7601	0.72624	4.55253
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.75651	1.75161	1.51254	0.97597	0.0	1.1979	0.76587	1.94271
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	0.55788	0.07208	0.04089	0.0	0.0	0.14475	0.07301	0.05294
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.54552	2.73512	0.1692	3.172	0.0	3.11048	0.427	3.2158
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	0.53409	0.10389	3.28108	0.26565	0.11716	0.0244	2.39306	0.04823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.41477	0.13963	0.59907	0.32035	0.27207	0.13465	0.44953	0.21315
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.28607	1.18669	0.22848	1.52393	0.0	1.53201	0.3016	1.38827
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	0.19794	1.325	0.06132	1.76615	0.0	1.19013	0.0749	1.9969
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529|f__FGB3529	0.15404	0.34334	0.22032	0.45416	0.0	0.37734	0.20098	0.50455
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	0.1511	0.11562	0.15653	0.13776	0.0	0.12217	0.16178	0.07975
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	0.13857	0.0	0.07482	0.00204	0.0	0.00866	0.105	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	0.12606	0.28964	0.00501	0.28658	0.0	0.30718	0.0599	0.21484
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.12311	0.13527	0.2938	0.3336	0.50305	0.2374	0.20244	0.21034
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.11845	0.68112	0.0	0.79523	0.0	0.69181	0.03416	0.71855
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.10513	0.24631	0.87565	0.28621	0.0	0.14775	0.36407	0.26472
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213|f__FGB1213	0.10411	0.14336	0.06417	0.18689	0.0	0.1685	0.10181	0.19842
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954	0.10071	0.04512	0.33329	0.1327	0.0	0.0346	0.15362	0.0929
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.09268	0.73763	0.00083	0.5464	0.0	0.58879	0.01532	0.75694
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465|f__FGB76465	0.0923	0.24065	0.13709	0.23738	0.0	0.13877	0.04694	0.2425
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.08837	0.24621	0.21203	0.10398	0.0	0.14424	0.04545	0.20082
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626|f__FGB31626	0.08355	0.08503	0.14582	0.17202	0.0	0.04911	0.1583	0.09478
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.08134	0.0	0.16971	0.01287	0.0	0.0	0.32734	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.07732	0.0	0.30743	0.03266	0.0	0.00051	0.28741	0.00193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.06774	0.03863	0.30475	0.13016	0.0	0.04722	0.1984	0.01679
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.06232	0.0	0.23057	0.0	0.0	0.0	0.19755	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.06092	0.16827	0.13929	0.16504	0.0	0.10665	0.16576	0.21257
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932	0.04422	0.0161	0.07957	0.09845	0.0	0.0	0.05511	0.0
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	0.04394	0.69605	0.0	0.16848	0.0	0.16269	0.0	0.49659
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0.03569	0.0	0.03444	0.0	0.0	0.0	0.03971	0.0
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004|f__FGB3004	0.02845	0.0	0.02979	0.00464	0.0	0.00104	0.03202	0.0
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251|f__FGB58251	0.02813	2.74574	0.0	2.75861	0.0	2.96509	0.0	2.69409
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	0.02181	1.54683	0.0	0.93161	0.0	1.47433	0.02816	1.6799
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.01642	0.0	0.06672	0.08111	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223|f__FGB73223	0.01324	0.0	0.15471	0.00279	0.0	0.0	0.13093	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.01169	0.03403	0.44228	0.19439	0.0	0.0	0.23329	0.05854
