Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Betaproteobacteria|order_Burkholderiales|family_Oxalobacteraceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_28216|order_80840|family_75682	0.0	0.0	0.0	547.0	547.0	0.0	0.0	0.0	0.0	0.0	16507.0	0.0	0.0	287.0	0.0	0.0	0.0	357.0	0.0	3029.0	349.0
no rank_root|no rank_cellular organisms|superkingdom_Archaea|phylum_Candidatus Thermoplasmatota|class_Thermoplasmata|order_Methanomassiliicoccales|family_Methanomassiliicoccaceae	no rank_1|no rank_131567|superkingdom_2157|phylum_2283796|class_183967|order_1235850|family_1577788	0.0	0.0	0.0	8632.0	8632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7599.0	0.0	0.0	0.0	0.0	1939.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Actinobacteria|order_Micrococcales|family_Micrococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_1760|order_85006|family_1268	0.0	0.0	0.0	0.0	0.0	266.0	463.0	340.0	0.0	392.0	11299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0
no rank_root|superkingdom_Viruses|clade_Monodnaviria|kingdom_Shotokuvirae|phylum_Cossaviricota|class_Papovaviricetes|order_Zurhausenvirales|family_Papillomaviridae	no rank_1|superkingdom_10239|clade_2731342|kingdom_2732092|phylum_2732415|class_2732421|order_2732533|family_151340	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Selenomonadales|family_Selenomonadaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_909929|family_1843491	0.0	0.0	0.0	0.0	0.0	0.0	2742.0	0.0	0.0	0.0	37005.0	0.0	0.0	42615.0	0.0	0.0	0.0	0.0	1386.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Actinobacteria|order_Micrococcales|family_Microbacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_1760|order_85006|family_85023	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae	no rank_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	2211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Gammaproteobacteria|order_Enterobacterales|family_Hafniaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_1236|order_91347|family_1903412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7976.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Sordariomycetidae|order_Sordariales|family_Chaetomiaceae	no rank_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222544|order_5139|family_35718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Bacilli|order_Lactobacillales|family_Leuconostocaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_91061|order_186826|family_81850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1099.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Actinobacteria|order_Micrococcales|family_Promicromonosporaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_1760|order_85006|family_85017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	562.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Actinobacteria|order_Actinomycetales|family_Actinomycetaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_1760|order_2037|family_2049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2551.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Actinobacteria|class_Actinobacteria|order_Corynebacteriales|family_Corynebacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_201174|class_1760|order_85007|family_1653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|subphylum_delta/epsilon subdivisions|class_Deltaproteobacteria|order_Myxococcales|suborder_Cystobacterineae|family_Myxococcaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|subphylum_68525|class_28221|order_29|suborder_80811|family_31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Gammaproteobacteria|order_Pseudomonadales|family_Moraxellaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_1236|order_72274|family_468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2897.0	0.0	0.0	2517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Alphaproteobacteria|order_Rhizobiales|family_Phyllobacteriaceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_28211|order_356|family_69277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1091.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|class_Alphaproteobacteria|order_Caulobacterales|family_Caulobacteraceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|class_28211|order_204458|family_76892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_PVC group|phylum_Verrucomicrobia|class_Opitutae|order_Puniceicoccales|family_Puniceicoccaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783257|phylum_74201|class_414999|order_415001|family_415002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4093.0	494.0	0.0	7288.0	0.0	1053.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_PVC group|phylum_Lentisphaerae|class_Lentisphaeria|order_Victivallales|family_Victivallaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783257|phylum_256845|class_1313211|order_278082|family_255528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9049.0	0.0	0.0	7240.0	0.0	0.0	24927.0	0.0	0.0	104402.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Synergistetes|class_Synergistia|order_Synergistales|family_Synergistaceae	no rank_1|no rank_131567|superkingdom_2|phylum_508458|class_649775|order_649776|family_649777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6096.0	0.0	0.0	467.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Leotiomycetes|order_Helotiales|family_Sclerotiniaceae	no rank_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147548|order_5178|family_28983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_dothideomyceta|class_Dothideomycetes|subclass_Dothideomycetidae|order_Mycosphaerellales|family_Mycosphaerellaceae	no rank_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715962|class_147541|subclass_451867|order_2726947|family_93133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|superkingdom_Viruses|clade_Monodnaviria|kingdom_Loebvirae|phylum_Hofneiviricota|class_Faserviricetes|order_Tubulavirales|family_Inoviridae	no rank_1|superkingdom_10239|clade_2731342|kingdom_2732090|phylum_2732410|class_2732411|order_2732094|family_10860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2841.0	0.0	0.0	556.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
no rank_root|superkingdom_Viruses|clade_Monodnaviria|kingdom_Shotokuvirae|phylum_Cossaviricota|class_Papovaviricetes|order_Sepolyvirales|family_Polyomaviridae	no rank_1|superkingdom_10239|clade_2731342|kingdom_2732092|phylum_2732415|class_2732421|order_2732532|family_151341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|phylum_Proteobacteria|subphylum_delta/epsilon subdivisions|class_Epsilonproteobacteria|order_Campylobacterales|family_Helicobacteraceae	no rank_1|no rank_131567|superkingdom_2|phylum_1224|subphylum_68525|class_29547|order_213849|family_72293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
